soi_line_type_id,soi_ordered_quantity,soi_quantity_invoiced,soi_quantity,soi_line_id,soi_org_id,soi_header_id,soi_ordered_item,soi_item_key,soi_invoice_date,soi_line_net_sales_functional,soi_line_net_sales_corp,soi_line_total_cost_functional,soi_line_total_cost_corp,soi_line_prime_cost_func,soi_line_prime_cost_corp,soi_dsn,soi_customer_key,soi_ucortp,soi_invoice_number,soi_order_number,soi_order_type_id,soi_order_status,soi_lob_l1_key,soi_lob_l2_key,soi_em_key,soi_brand_franchise_product,soi_price_level_code,soi_code_desc,soi_location_code,soi_location_name,soi_location_name_city_state,soi_discount_multiplier,soi_operational_revenue,soi_operational_revenue_corp,soi_operational_prime_cost,soi_operational_prime_cost_corp,soi_operational_standard_cost,soi_operational_standard_cost_corp,soi_grosssaleslocal,soi_grosssalescorp,soi_totaldiscountlocal,soi_totaldiscountcorp,itm_item_key,itm_organization_id,itm_item.description,itm_item.number,itm_user.item.type,itm_brand_franchise_product,itm_price_group,itm_dsn,cust_customer_id,cust_customer_name,cust_customer_number,cust_customer_key,cust_customer_type,cust_city,cust_postal_code,cust_state,cust_country,cust_internal_customer_flag,cust_dsn,cust_bmsreceivabletypecode,cust_primary.segment,cust_bmspricematrixname,cust_bmsdefaultpricelevel,org_name,org_code,org_division,org_org6...branch,ord_typ_order_type_id,ord_typ_order_type,eng_em_key
3,1,1,1,14056,7,6027,910,1175,948,4290,4290,3432,3432,3432,3432,2,3005,1,71804,96588,2,1,1,28,-1,16,3,1,26,15,15,0,4290,4290,3432,3432,3432,3432,0,0,-3432,-3432,1175,2,1441,910,877,11,5,2,3004,1716,2991,3005,8,807,1705,18,2,1,2,8,20,68,5,15,7,2,15,2,41,-1
2,1,1,1,78,22,45,2357,3078,259,5100,5100,4156.31,4156.31,4156.31,4156.31,4,1443,42,28577,10026,54,1,46,34,-1,17,11,7,1,6,6,0,5100,5100,4156.31,4156.31,4156.31,4156.31,4156.31,4156.31,0,0,3078,4,2150,2357,1278,11,5,4,1443,2175,1429,1443,2,443,1140,14,2,1,4,2,21,79,20,7,22,4,2,54,3,-1
3,1,1,1,32399,32,16823,916,1188,171,3450,3450,2981,2981,2981,2981,4,174,7,71218,176499,13,1,21,30,-1,16,1,7,806,7,7,0,3450,3450,2981,2981,2981,2981,2981,2981,0,0,1188,4,859,916,581,11,5,4,174,112,160,174,18,116,70,2,2,1,4,17,20,79,20,8,32,4,4,13,19,-1
2,1,1,1,7234,22,3459,1961,2560,1031,11047.39,11047.39,9210.67,9210.67,9210.67,9210.67,4,801,26,24372,8677,34,1,35,34,-1,17,11,7,1,6,6,0,11047.39,11047.39,9210.67,9210.67,9210.67,9210.67,9210.67,9210.67,0,0,2560,4,1534,1961,924,11,5,4,801,2721,787,801,2,648,389,51,2,1,4,2,20,67,17,7,22,4,2,34,6,-1
3,1,1,1,10407,1,4493,951,1229,1057,3450,3450,3105,3105,3105,3105,1,2710,1,24793,334538,1,1,1,15,-1,10,11,7,3,23,23,0,3450,3450,3105,3105,3105,3105,6355,6355,3250,3250,1229,1,1201,951,877,8,5,1,2709,1521,2697,2710,18,1015,1185,14,2,1,1,17,20,79,20,23,1,1,23,1,41,-1
2,1,1,1,24764,32,11972,164,210,12,1000,1000,0,0,0,0,4,324,11,43976,161723,17,1,25,34,-1,17,11,7,806,7,7,0,1000,1000,0,0,0,0,0,0,0,0,210,4,89,164,59,11,5,4,324,1992,310,324,18,929,555,51,2,1,4,17,2,70,28,8,32,4,4,17,10,-1
3,1,1,1,29201,32,14840,1240,1670,417,1684,1684,1347,1347,1347,1347,4,281,10,61562,170866,16,1,24,30,-1,16,4,2,806,7,7,0,1684,1684,1347,1347,1347,1347,1347,1347,0,0,1670,4,1782,1240,878,11,5,4,281,2070,267,281,18,42,558,51,2,1,4,17,2,70,28,8,32,4,4,16,26,-1
2,1,0,0,5132,22,2388,1961,2560,854,0,0,0,0,0,0,4,801,26,21506,131093,34,1,35,34,-1,17,11,7,1,6,6,0,0,0,0,0,0,0,0,0,0,0,2560,4,1534,1961,924,11,5,4,801,2721,787,801,2,648,389,51,2,1,4,2,20,67,17,7,22,4,2,34,6,-1
3,1,1,1,19869,20,9484,1295,1765,923,3593.01,3593.01,3416,3416,3416,3416,3,2212,21,5652,4231,28,1,8,29,-1,16,3,1,80,25,25,0,3593.01,3593.01,3416,3416,3416,3416,0,0,-3416,-3416,1765,3,1905,1295,794,11,5,3,2211,1044,2199,2212,4,758,235,12,2,1,3,4,20,5,21,25,20,3,25,28,15,-1
3,2,2,2,21234,20,10071,601,786,26,27.6,27.6,27.6,27.6,27.6,27.6,3,1944,1,6744,4931,3,1,1,29,-1,16,10,6,80,25,25,0,27.6,27.6,27.6,27.6,27.6,27.6,46,46,18.4,18.4,786,3,1717,601,795,11,18,3,1944,722,1933,1944,9,1068,614,23,2,2,3,9,20,10,1,25,20,3,25,3,41,-1
