"ï..creation_date","line_number","quantity","org_id","ITEM_KEY","invoice_date","Line.Net.Sales...Local","Line.Net.Sales","line_total_cost_functional","line_total_cost_corp","Line.Prime.Cost...Local","Line.Prime.Cost","corp_exch","map_corp_exch","functionalcurr","Line.Gross.Sales...Local","Line.Gross.Sales","Line.Total.Discount...Local","Line.Total.Discount","transactionalcurrency","standardpricelistcurr","dsn","CUSTOMER_KEY","service_type","invoice_number","ORDER_NUMBER","ORDER_TYPE_ID","SourceTable","ORDER_STATUS","EM_KEY","Operational_Revenue","Operational_Revenue_Corp","Operational_Prime_Cost","Operational_Prime_Cost_corp","Operational_standard_cost","Operational_standard_cost_Corp","BMS.Order.Type.Code","Item.Number","Item.Description","User.Item.Type","BRAND_FRANCHISE_PRODUCT","PRICE_GROUP","CUSTOMER_NAME","CUSTOMER_NUMBER","CUSTOMER_TYPE","POSTAL_CODE","STATE","COUNTRY","INTERNAL_CUSTOMER_FLAG","BMS.Receivable.Type.Code","ï..creation_date.1","line_number.1","quantity.1","org_id.1","ITEM_KEY.1","invoice_date.1","Line.Net.Sales...Local.1","Line.Net.Sales.1","line_total_cost_functional.1","line_total_cost_corp.1","Line.Prime.Cost...Local.1","Line.Prime.Cost.1","corp_exch.1","map_corp_exch.1","functionalcurr.1","Line.Gross.Sales...Local.1","Line.Gross.Sales.1","Line.Total.Discount...Local.1","Line.Total.Discount.1","transactionalcurrency.1","standardpricelistcurr.1","dsn.1","CUSTOMER_KEY.1","service_type.1","invoice_number.1","ORDER_NUMBER.1","ORDER_TYPE_ID.1","SourceTable.1","ORDER_STATUS.1","EM_KEY.1","Operational_Revenue.1","Operational_Revenue_Corp.1","Operational_Prime_Cost.1","Operational_Prime_Cost_corp.1","Operational_standard_cost.1","Operational_standard_cost_Corp.1","BMS.Order.Type.Code.1","Item.Number.1","Item.Description.1","User.Item.Type.1","BRAND_FRANCHISE_PRODUCT.1","PRICE_GROUP.1","CUSTOMER_NAME.1","CUSTOMER_NUMBER.1","CUSTOMER_TYPE.1","POSTAL_CODE.1","STATE.1","COUNTRY.1","INTERNAL_CUSTOMER_FLAG.1","BMS.Receivable.Type.Code.1"
1,4,1,55,92,1,61,61,42.6,42.6,42.6,42.6,1,1,2,77.34,77.34,34.74,34.74,2,2,11,65,2,4547,140594,37,2,2,-1,61,61,42.6,42.6,42.6,42.6,1,73,151,98,10,7,39,64,4,100,12,2,1,4,1,4,1,55,92,1,61,61,42.6,42.6,42.6,42.6,1,1,2,77.34,77.34,34.74,34.74,2,2,11,65,2,4547,140594,37,2,2,-1,61,61,42.6,42.6,42.6,42.6,1,73,151,98,10,7,39,64,4,100,12,2,1,4
1,4,1,65,374,1,139183.91,107453.0302,0,0,0,0,0.772021925,0.772021925,1,0,0,0,0,1,1,13,95,2,96695,517698,5,2,2,-1,139183.91,107453.0302,0,0,0,0,1,273,194,94,10,2,210,94,4,30,1,1,1,4,1,4,1,65,374,1,139183.91,107453.0302,0,0,0,0,0.772021925,0.772021925,1,0,0,0,0,1,1,13,95,2,96695,517698,5,2,2,-1,139183.91,107453.0302,0,0,0,0,1,273,194,94,10,2,210,94,4,30,1,1,1,4
1,1,1,29,140,1,3279,3279,2799,2799,2799,2799,1,1,2,4810,4810,2011,2011,2,2,7,96,2,22195,995714,4,2,2,-1,3279,3279,2799,2799,2799,2799,1,100,52,122,10,2,47,95,11,47,6,2,1,11,1,1,1,29,140,1,3279,3279,2799,2799,2799,2799,1,1,2,4810,4810,2011,2011,2,2,7,96,2,22195,995714,4,2,2,-1,3279,3279,2799,2799,2799,2799,1,100,52,122,10,2,47,95,11,47,6,2,1,11
1,3,1,55,124,1,85,85,59.4,59.4,59.4,59.4,1,1,2,107.85,107.85,48.45,48.45,2,2,11,65,2,4547,140594,37,2,2,-1,85,85,59.4,59.4,59.4,59.4,1,86,199,98,10,7,39,64,4,100,12,2,1,4,1,3,1,55,124,1,85,85,59.4,59.4,59.4,59.4,1,1,2,107.85,107.85,48.45,48.45,2,2,11,65,2,4547,140594,37,2,2,-1,85,85,59.4,59.4,59.4,59.4,1,86,199,98,10,7,39,64,4,100,12,2,1,4
1,5,1,55,65,1,51,51,35.4,35.4,35.4,35.4,1,1,2,64.27,64.27,28.87,28.87,2,2,11,65,2,4547,140594,37,2,2,-1,51,51,35.4,35.4,35.4,35.4,1,50,306,98,10,7,39,64,4,100,12,2,1,4,1,5,1,55,65,1,51,51,35.4,35.4,35.4,35.4,1,1,2,64.27,64.27,28.87,28.87,2,2,11,65,2,4547,140594,37,2,2,-1,51,51,35.4,35.4,35.4,35.4,1,50,306,98,10,7,39,64,4,100,12,2,1,4
1,2,1,55,184,1,33,33,22.8,22.8,22.8,22.8,1,1,2,41.4,41.4,18.6,18.6,2,2,11,65,2,4547,140594,37,2,2,-1,33,33,22.8,22.8,22.8,22.8,1,142,147,98,10,7,39,64,4,100,12,2,1,4,1,2,1,55,184,1,33,33,22.8,22.8,22.8,22.8,1,1,2,41.4,41.4,18.6,18.6,2,2,11,65,2,4547,140594,37,2,2,-1,33,33,22.8,22.8,22.8,22.8,1,142,147,98,10,7,39,64,4,100,12,2,1,4
1,1,1,55,360,1,125,125,1200,1200,1200,1200,1,1,2,279.22,279.22,0,0,2,2,11,65,1,4547,140594,37,1,1,-1,125,125,0,0,0,0,1,266,148,82,10,2,39,64,4,100,12,2,1,4,1,1,1,55,360,1,125,125,1200,1200,1200,1200,1,1,2,279.22,279.22,0,0,2,2,11,65,1,4547,140594,37,1,1,-1,125,125,0,0,0,0,1,266,148,82,10,2,39,64,4,100,12,2,1,4
1,1,-1,17,298,1,-8910,-8910,-8020,-8020,-8020,-8020,1,1,2,-8020,-8020,0,0,2,2,3,124,2,99904,38523,10,2,2,-1,-8910,-8910,-8020,-8020,-8020,-8020,1,219,102,55,10,2,112,124,1,175,43,2,1,1,1,1,-1,17,298,1,-8910,-8910,-8020,-8020,-8020,-8020,1,1,2,-8020,-8020,0,0,2,2,3,124,2,99904,38523,10,2,2,-1,-8910,-8910,-8020,-8020,-8020,-8020,1,219,102,55,10,2,112,124,1,175,43,2,1,1
1,1,1,17,298,1,8910,8910,8020,8020,8020,8020,1,1,2,8020,8020,0,0,2,2,3,124,2,99903,38522,21,2,2,-1,8910,8910,8020,8020,8020,8020,1,219,102,55,10,2,112,124,1,175,43,2,1,1,1,1,1,17,298,1,8910,8910,8020,8020,8020,8020,1,1,2,8020,8020,0,0,2,2,3,124,2,99903,38522,21,2,2,-1,8910,8910,8020,8020,8020,8020,1,219,102,55,10,2,112,124,1,175,43,2,1,1
1,1,1,15,298,1,8910,8910,8020,8020,8020,8020,1,1,2,8020,8020,0,0,2,2,3,124,2,1249,353201,21,2,2,-1,8910,8910,8020,8020,8020,8020,1,219,102,55,10,2,112,124,1,175,43,2,1,1,1,1,1,15,298,1,8910,8910,8020,8020,8020,8020,1,1,2,8020,8020,0,0,2,2,3,124,2,1249,353201,21,2,2,-1,8910,8910,8020,8020,8020,8020,1,219,102,55,10,2,112,124,1,175,43,2,1,1
