,ï..creation_date,line_number,quantity,org_id,ITEM_KEY,invoice_date,Line.Net.Sales...Local,Line.Net.Sales,map_transactional,line_total_cost_functional,line_total_cost_corp,Line.Prime.Cost...Local,Line.Prime.Cost,corp_exch,map_corp_exch,functionalcurr,Line.Gross.Sales...Local,Line.Gross.Sales,Line.Total.Discount...Local,Line.Total.Discount,transactionalcurrency,standardpricelistcurr,dsn,CUSTOMER_KEY,service_type,invoice_number,ORDER_NUMBER,ORDER_TYPE_ID,SourceTable,ORDER_STATUS,Serial_Number,EM_KEY,Operational_Revenue,Operational_Revenue_Corp,Operational_Prime_Cost,Operational_Prime_Cost_corp,Operational_standard_cost,Operational_standard_cost_Corp,BMS.Project.Number,BMS.Order.Type.Code,Item.Number,Item.Description,User.Item.Type,BRAND_FRANCHISE_PRODUCT,ECC,ECC.Engine.Model,ECC.Engine.Range,SEGMENT_TYPE,Print.Part.Number,Long.Part.Number,Filtration.Prod.Class,Filtration.Prod.Group,Filtration.Prod.Family,PVC.Code,ECC.Code.Major,ECC.Code.Minor,SPC.Code.Major,SPC.Code.Interm,SPC.Code.Minor,Brand.Major,Brand.Minor,WPT.Major,WPT.Minor,VENDOR_ITEM.,PRICE_GROUP,Displacement.Liters,CUSTOMER_NAME,CUSTOMER_NUMBER,CUSTOMER_TYPE,POSTAL_CODE,STATE,COUNTRY,INTERNAL_CUSTOMER_FLAG,BMS.Receivable.Type.Code
14734,1,4,1,151,4880,35,9047.86,9047.86,0.0,7763.46,7763.46,7763.46,7763.46,1.0,1.0,2,0.0,0.0,-7763.46,-7763.46,2,2,12,4618,2,5114,140769,76,2,2,4241.5,-1,9047.86,9047.86,7763.46,7763.46,7763.46,7763.46,2485,1,2641,2989,1871,26,18,4,2,1,520,521,10,7,5,15,3,1,11,2,2,3,2,4,5,406,6,1,3888,4565,6,1860,54,3,1,6
14872,1,2,1,71,4594,44,0.0,0.0,315.68,0.0,0.0,0.0,0.0,1.0,1.0,2,0.0,0.0,0.0,0.0,2,2,8,3419,2,23544,186071,73,2,2,4241.5,-1,0.0,0.0,0.0,0.0,0.0,0.0,69422,1,2540,2316,1453,26,18,4,2,1,520,521,10,7,5,15,3,1,11,2,2,3,2,4,5,406,16,1,2665,3371,12,1277,8,3,1,12
1606,1,1,1,47,1323,23,2543.0,2543.0,0.0,2034.0,2034.0,2034.0,2034.0,1.0,1.0,2,0.0,0.0,-2034.0,-2034.0,2,2,6,2412,2,69878,20309,84,2,2,1228.0,-1,2543.0,2543.0,0.0,0.0,0.0,0.0,13595,1,726,2190,1408,26,18,4,2,1,520,521,10,7,5,15,3,1,11,2,2,3,2,4,5,264,6,1,1890,2369,21,321,7,3,1,21
27036,1,1,1687,99,5450,73,14018.97,10783.82308,315.68,14018.97,10783.82308,14018.97,10783.82308,0.7692307690000001,0.7692307690000001,1,14018.97,10783.82308,0.0,0.0,1,1,10,1557,2,5424,1058,35,2,2,4241.5,-1,14018.97,10783.82308,14018.97,10783.82308,14018.97,10783.82308,11709,1,3040,3038,1898,26,18,4,2,1,520,521,10,7,5,15,3,1,11,2,2,3,2,4,5,406,16,1,1827,1519,20,816,45,1,1,20
20324,1,9,1,159,935,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,0.0,0.0,0.0,0.0,2,2,12,1338,2,3742,172170,76,2,2,4241.5,-1,0.0,0.0,0.0,0.0,0.0,0.0,9375,1,527,1083,1336,14,18,4,2,1,520,521,10,7,5,15,3,1,11,2,2,3,2,4,5,406,6,1,2185,1300,3,1712,42,3,1,3
26634,1,1,1,148,2482,63,2313.0,2313.0,3277.0,1966.0,1966.0,1966.0,1966.0,1.0,1.0,2,3277.0,3277.0,1311.0,1311.0,2,2,12,797,2,12933,2419853,129,2,2,4080.0,-1,2313.0,2313.0,1966.0,1966.0,1966.0,1966.0,13595,1,1418,2629,1134,26,18,4,2,1,590,591,10,7,5,17,3,1,2,2,2,3,2,4,5,471,16,1,1642,764,3,120,20,3,1,3
14431,1,3,1,76,5408,26,608.4,608.4,315.68,608.4,608.4,608.4,608.4,1.0,1.0,2,608.4,608.4,0.0,0.0,2,2,8,4044,2,64960,123084,73,2,2,4241.5,-1,608.4,608.4,608.4,608.4,608.4,608.4,68953,1,3005,2972,1866,26,18,4,2,1,520,521,10,7,5,15,3,1,11,2,2,3,2,4,5,406,16,1,2694,3992,7,1569,65,3,1,7
2433,1,3,1,22,1267,25,105.42,105.42,105.73,59.4,59.4,59.4,59.4,1.0,1.0,2,105.73,105.73,46.33,46.33,2,2,3,3328,2,13001,2085024,81,2,2,4241.5,-1,105.42,105.42,59.4,59.4,59.4,59.4,13595,1,691,1944,1210,26,18,4,2,1,241,240,10,7,5,15,3,1,14,2,2,3,2,4,5,187,22,1,3661,3280,7,2019,36,3,1,7
11398,1,2,1,29,4787,32,3696.0,3696.0,315.68,3214.76,3214.76,3214.76,3214.76,1.0,1.0,2,3214.76,3214.76,0.0,0.0,2,2,4,2137,2,6370,702948,69,2,2,4241.5,-1,3696.0,3696.0,3214.76,3214.76,3214.76,3214.76,45,1,2626,2398,1525,26,18,4,2,1,520,521,10,7,5,15,3,1,11,2,2,3,2,4,5,406,16,1,2328,2094,3,897,57,3,1,3
18463,1,1,1,83,1461,32,3351.0,3351.0,4780.0,2753.0,2753.0,2753.0,2753.0,1.0,1.0,2,4780.0,4780.0,2027.0,2027.0,2,2,8,3807,2,25989,1108195,8,2,2,2831.0,-1,3351.0,3351.0,2753.0,2753.0,2753.0,2753.0,13595,1,819,1842,1416,26,18,4,2,1,520,521,10,7,5,15,3,1,11,2,2,3,2,4,5,268,6,1,561,3755,21,1023,5,3,1,21
